sku,name,category,imageUrl,notes,unit,preferredQty,vendor,vendorSku,unitPrice,currency,moq,shippingFlat,shippingPerUnit,leadDays,url,lastChecked
CRM-HVY-36,Heavy Cream 36% 1gal,Dairy,,Base for ice cream & whipped cream,gal,4,Sysco,SY-CRM36,18.50,USD,1,15.00,0,2,,2026-07-01
CRM-HVY-36,Heavy Cream 36% 1gal,Dairy,,Base for ice cream & whipped cream,gal,4,Restaurant Depot,RD-CRM36,16.25,USD,2,0,0,1,,2026-07-10
CRM-HVY-36,Heavy Cream 36% 1gal,Dairy,,Base for ice cream & whipped cream,gal,4,Gordon Food,GFS-CRM36,17.40,USD,1,12.00,0,3,,2026-07-05
MLK-WHL-1GAL,Whole Milk 1gal,Dairy,,Ice cream mix,gal,6,Sysco,SY-MLK1,5.80,USD,1,12.00,0,2,,2026-07-01
MLK-WHL-1GAL,Whole Milk 1gal,Dairy,,Ice cream mix,gal,6,Restaurant Depot,RD-MLK1,4.95,USD,4,0,0,1,,2026-07-11
MLK-WHL-1GAL,Whole Milk 1gal,Dairy,,Ice cream mix,gal,6,Gordon Food,GFS-MLK1,5.40,USD,2,10.00,0,2,,2026-07-03
SUG-GRAN-50,Granulated Sugar 50lb,Dry Goods,,Ice cream & dessert sweetener,bag,1,Sysco,SY-SUG50,32.00,USD,1,18.00,0,2,,2026-07-01
SUG-GRAN-50,Granulated Sugar 50lb,Dry Goods,,Ice cream & dessert sweetener,bag,1,Restaurant Depot,RD-SUG50,28.50,USD,2,0,0,1,,2026-07-11
SUG-GRAN-50,Granulated Sugar 50lb,Dry Goods,,Ice cream & dessert sweetener,bag,1,Webstaurant,W-SUG50,30.25,USD,1,20.00,0,5,,2026-06-28
EGG-YOLK-PAST,Pasteurized Egg Yolks 2lb,Dairy,,Custard / French-style ice cream,tub,2,Sysco,SY-YOLK2,14.75,USD,1,12.00,0,2,,2026-07-01
EGG-YOLK-PAST,Pasteurized Egg Yolks 2lb,Dairy,,Custard / French-style ice cream,tub,2,Restaurant Depot,RD-YOLK2,12.90,USD,2,0,0,1,,2026-07-09
VAN-EXT-32,Pure Vanilla Extract 32oz,Flavorings,,Base vanilla ice cream,btl,2,Sysco,SY-VAN32,48.00,USD,1,10.00,0,2,,2026-07-01
VAN-EXT-32,Pure Vanilla Extract 32oz,Flavorings,,Base vanilla ice cream,btl,2,Webstaurant,W-VAN32,42.50,USD,2,15.00,0,4,,2026-07-06
VAN-EXT-32,Pure Vanilla Extract 32oz,Flavorings,,Base vanilla ice cream,btl,2,Amazon Business,B0VAN32,45.99,USD,1,0,0,3,,2026-07-12
COCOA-DUTCH-5,Dutch Cocoa Powder 5lb,Flavorings,,Chocolate ice cream & desserts,bag,1,Sysco,SY-COCOA5,36.00,USD,1,12.00,0,2,,2026-07-01
COCOA-DUTCH-5,Dutch Cocoa Powder 5lb,Flavorings,,Chocolate ice cream & desserts,bag,1,Webstaurant,W-COCOA5,31.75,USD,1,18.00,0,4,,2026-07-04
COCOA-DUTCH-5,Dutch Cocoa Powder 5lb,Flavorings,,Chocolate ice cream & desserts,bag,1,Restaurant Depot,RD-COCOA5,33.20,USD,2,0,0,1,,2026-07-10
CHOC-DARK-10,Dark Chocolate Couverture 10lb,Flavorings,,Chunks / ganache / dipping,case,1,Sysco,SY-CHOC10,72.00,USD,1,15.00,0,2,,2026-07-01
CHOC-DARK-10,Dark Chocolate Couverture 10lb,Flavorings,,Chunks / ganache / dipping,case,1,Webstaurant,W-CHOC10,64.50,USD,1,22.00,0,5,,2026-07-03
CHOC-DARK-10,Dark Chocolate Couverture 10lb,Flavorings,,Chunks / ganache / dipping,case,1,Gordon Food,GFS-CHOC10,68.00,USD,1,14.00,0,3,,2026-06-30
GLU-SYRUP-1GAL,Glucose Syrup 1gal,Dry Goods,,Texture / scoopability,gal,1,Sysco,SY-GLU1,22.00,USD,1,12.00,0,2,,2026-07-01
GLU-SYRUP-1GAL,Glucose Syrup 1gal,Dry Goods,,Texture / scoopability,gal,1,Webstaurant,W-GLU1,19.40,USD,2,16.00,0,4,,2026-07-05
STAB-GUAR-1LB,Guar Gum Stabilizer 1lb,Dry Goods,,Ice cream stabilizer,bag,1,Webstaurant,W-GUAR1,14.25,USD,1,10.00,0,4,,2026-07-02
STAB-GUAR-1LB,Guar Gum Stabilizer 1lb,Dry Goods,,Ice cream stabilizer,bag,1,Amazon Business,B0GUAR1,12.99,USD,1,0,0,3,,2026-07-12
STAB-GUAR-1LB,Guar Gum Stabilizer 1lb,Dry Goods,,Ice cream stabilizer,bag,1,Uline,S-GUAR1,15.50,USD,2,12.00,0,2,,2026-06-25
